cld,cld_360smth,cld_anm360,cld_21smth,cld_anm21,CRF,CRF_21smth,CRF_21anm
61.24000,60.03114,1.20886,60.04563,1.19437,-3.65429,-3.64298,-0.01130
61.17520,60.03204,1.14316,60.09343,1.08177,-4.08734,-3.90143,-0.18591
61.15940,60.02858,1.13082,60.10725,1.05215,-4.48563,-4.16694,-0.31869
61.72430,60.02530,1.69900,60.10611,1.61819,-4.45837,-4.38818,-0.07020
61.41500,60.02848,1.38652,60.23324,1.18176,-3.78447,-4.58673,0.80226
60.97310,60.03315,0.93995,60.24957,0.72353,-3.33967,-4.78915,1.44949
59.55960,60.03898,-0.47938,60.18240,-0.62280,-3.22697,-4.98155,1.75458
58.57810,60.04086,-1.46276,60.19776,-1.61966,-3.29343,-5.18889,1.89546
58.02400,60.04418,-2.02018,60.25248,-2.22848,-3.00911,-5.34809,2.33898
58.56800,60.05313,-1.48513,60.27853,-1.71053,-3.07756,-5.49940,2.42184
59.30310,60.05770,-0.75460,60.21469,-0.91159,-4.34092,-5.60959,1.26867
60.31960,60.06006,0.25954,60.16480,0.15480,-8.97888,-5.73136,-3.24752
60.85270,60.06305,0.78965,60.10632,0.74638,-9.93739,-5.85221,-4.08518
59.83920,60.05936,-0.22016,60.03869,-0.19949,-8.78908,-5.94418,-2.84490
59.71760,60.03253,-0.31493,60.00342,-0.28582,-8.17974,-6.02715,-2.15259
62.33540,60.00633,2.32907,59.92396,2.41144,-8.12222,-6.24219,-1.88003
60.51510,60.00366,0.51144,59.91613,0.59897,-7.08791,-6.47484,-0.61306
59.97450,60.00708,-0.03258,59.95061,0.02389,-7.16137,-6.74289,-0.41848
59.90390,60.01796,-0.11406,60.00546,-0.10156,-6.55705,-6.97317,0.41612
